ReferenceCodeProduct;ReferenceCodeCombination;Name;Category;Size;Color;HexaColor;Price;Weight;Quantity;Description;ShortDescription;Active;MetaKeyword;MetaDescription;MetaTitle
RSC14LF0601001;0014L040053;POLO KLERA.2 SS DRK GREY;RSCH,FEMALE,SHIRTS,2;L;GREY;#000000;115000;1;6;POLO KLERA.2 SS DRK GREY;POLO KLERA.2 SS DRK GREY;0;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH-FEMALE-SHIRTSPOLO-KLERA.2-SS-DRK-GREY
RSC14LF0601001;0014L040054;POLO KLERA.2 SS DRK GREY;RSCH,FEMALE,SHIRTS,2;XL;GREY;#000000;115000;1;2;POLO KLERA.2 SS DRK GREY;POLO KLERA.2 SS DRK GREY;0;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH FEMALE SHIRTSPOLO KLERA.2 SS DRK GREY;RSCH-FEMALE-SHIRTSPOLO-KLERA.2-SS-DRK-GREY
RSC14LM0402001;0014L040093;PRUSSIA SS NVY-WHT MINI GINGHAM;RSCH,MALE,SHIRTS,2;S;MULTI COLOUR;#000000;190000;1;5;PRUSSIA SS NVY-WHT MINI GINGHAM;PRUSSIA SS NVY-WHT MINI GINGHAM;0;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH-MALE-SHIRTSPRUSSIA-SS-NVY-WHT-MINI-GINGHAM
RSC14LM0402001;0014L040094;PRUSSIA SS NVY-WHT MINI GINGHAM;RSCH,MALE,SHIRTS,2;M;MULTI COLOUR;#000000;190000;1;10;PRUSSIA SS NVY-WHT MINI GINGHAM;PRUSSIA SS NVY-WHT MINI GINGHAM;0;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH-MALE-SHIRTSPRUSSIA-SS-NVY-WHT-MINI-GINGHAM
RSC14LM0402001;0014L040095;PRUSSIA SS NVY-WHT MINI GINGHAM;RSCH,MALE,SHIRTS,2;L;MULTI COLOUR;#000000;190000;1;5;PRUSSIA SS NVY-WHT MINI GINGHAM;PRUSSIA SS NVY-WHT MINI GINGHAM;0;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH-MALE-SHIRTSPRUSSIA-SS-NVY-WHT-MINI-GINGHAM
RSC14LM0402001;0014L040096;PRUSSIA SS NVY-WHT MINI GINGHAM;RSCH,MALE,SHIRTS,2;XL;MULTI COLOUR;#000000;190000;1;1;PRUSSIA SS NVY-WHT MINI GINGHAM;PRUSSIA SS NVY-WHT MINI GINGHAM;0;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH MALE SHIRTSPRUSSIA SS NVYWHT MINI GINGHAM;RSCH-MALE-SHIRTSPRUSSIA-SS-NVY-WHT-MINI-GINGHAM
RSC14LM0601001;0014L020001;POLO KLAVE.2 SS MISTY;RSCH,MALE,SHIRTS,2;S;MISTY;#000000;130000;1;6;POLO KLAVE.2 SS MISTY;POLO KLAVE.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-MISTY
RSC14LM0601001;0014L020002;POLO KLAVE.2 SS MISTY;RSCH,MALE,SHIRTS,2;M;MISTY;#000000;130000;1;15;POLO KLAVE.2 SS MISTY;POLO KLAVE.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-MISTY
RSC14LM0601001;0014L020003;POLO KLAVE.2 SS MISTY;RSCH,MALE,SHIRTS,2;L;MISTY;#000000;130000;1;12;POLO KLAVE.2 SS MISTY;POLO KLAVE.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-MISTY
RSC14LM0601001;0014L020004;POLO KLAVE.2 SS MISTY;RSCH,MALE,SHIRTS,2;XL;MISTY;#000000;130000;1;3;POLO KLAVE.2 SS MISTY;POLO KLAVE.2 SS MISTY;0;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH MALE SHIRTSPOLO KLAVE.2 SS MISTY;RSCH-MALE-SHIRTSPOLO-KLAVE.2-SS-MISTY
