HB0054;1803158;Niion;Sling Bag;HIPBAG  CAMO NAVY BLUE;ALL SIZE;CAMO NAVY BLUE;#000000;169000;0.4;0;-;-;1
HB0055;1803159;Niion;Sling Bag;HIPBAG  CAMO DESERT;ALL SIZE;CAMO DESERT;#000000;169000;0.4;0;-;-;1
HB0056;1803160;Niion;Sling Bag;HIPBAG  CAMO DARK BROWN;ALL SIZE;CAMO DARK BROWN;#000000;169000;0.4;0;-;-;1
HB0057;1803161;Niion;Sling Bag;HIPBAG  CAMO BROWN;ALL SIZE;CAMO BROWN;#000000;169000;0.4;0;-;-;1
HB0058;1803162;Niion;Sling Bag;HIPBAG  CAMO GREY;ALL SIZE;CAMO GREY;#000000;169000;0.4;0;-;-;1
HBP0059;1803163;Niion;Sling Bag;HIPBAG PATTERN METROPIXEL;ALL SIZE;METROPIXEL;#000000;249000;0.4;0;-;-;1
HBP0060;1803164;Niion;Sling Bag;HIPBAG PATTERN TROPICALISTIC;ALL SIZE;TROPICALISTIC;#000000;249000;0.4;0;-;-;1
HBP0061;1803165;Niion;Sling Bag;HIPBAG PATTERN DOODLEDOO;ALL SIZE;DOODLEDOO;#000000;249000;0.4;0;-;-;1
WA0062;1803166;Niion;Sling Bag;WAISTER BLACK;ALL SIZE;BLACK;#000000;179000;0.4;0;-;-;1
WA0063;1803167;Niion;Sling Bag;WAISTER NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;179000;0.4;0;-;-;1
WA0064;1803168;Niion;Sling Bag;WAISTER DARK GREY;ALL SIZE;DARK GREY;#555555;179000;0.4;0;-;-;1
WA0065;1803169;Niion;Sling Bag;WAISTER CAMO NAVY BLUE;ALL SIZE;CAMO NAVY BLUE;#000000;179000;0.4;0;-;-;1
WA0066;1803170;Niion;Sling Bag;WAISTER CAMO DARK BROWN;ALL SIZE;CAMO DARK BROWN;#000000;179000;0.4;0;-;-;1
WA0067;1803171;Niion;Sling Bag;WAISTER CAMO DESERT;ALL SIZE;CAMO DESERT;#000000;179000;0.4;0;-;-;1
BT0068;1803172;Niion;Sling Bag;BITT BLACK;ALL SIZE;BLACK;#000000;129000;0.3;0;-;-;1
BT0069;1803173;Niion;Sling Bag;BITT NAVY BLUE;ALL SIZE;NAVY BLUE;#0e1F35;129000;0.3;0;-;-;1
