IDCarrier;IDDistrict;DistrictName;CityName;Price
1;1997;Kei Kecil;Kab Maluku Tenggara;164000
1;1998;Kejajar;Kab Wonosobo;27000
1;1999;Kejaksan ;Kota Cirebon;10000
1;2000;Kejayan;Kab Pasuruan;30000
1;2001;Kejobong;Kab Purbalingga;25000
1;2002;Kejuruan Muda;Kab Aceh Tamiang;57000
1;2003;Kelam Permai ;Kab Sintang;53000
1;2004;Kelapa Gading ;Kota Administrasi Jakarta Utara;9000
1;2005;Kelapa;Kab Bangka Barat;31000
1;2006;Kelapa Kampit;Kab Belitung Timur;38000
1;2007;Kelapa Lima;Kota Kupang;35000
1;2008;Kelara;Kab Jeneponto;53000
1;2009;Kelay;Kab Berau;60000
1;2010;Kelayang;Kab Indragiri Hulu;48000
1;2011;Kelekar;Kab Muara Enim;38000
1;2012;Kelila;Kab Jayawijaya;137000
1;2013;Keliling Danau;Kab Kerinci;52000
1;2014;Kelimutu;Kab Ende;77000
1;2015;Keling;Kab Jepara;25000
1;2016;Kelua;Kab Tabalong;49000
1;2017;Keluang;Kab Musi Banyuasin;38000
1;2018;Kelubagolit;Kab Flores Timur;77000
1;2019;Kelumbayan;Kab Tanggamus;38000
1;2020;Kelumpang Hulu;Kab Kota Baru;49000
1;2021;Kelumpang Selatan;Kab Kota Baru;49000
1;2022;Kelumpang Tengah;Kab Kota Baru;49000
1;2023;Kelumpang Utara;Kab Kota Baru;49000
1;2024;Kema;Kab Minahasa Utara;75000
1;2025;Kemalang;Kab Klaten;25000
1;2026;Kemang;Kab Bogor;10000
1;2027;Kemangkon;Kab Purbalingga;25000
1;2028;Kemayoran ;Kota Administrasi Jakarta Pusat;9000
1;2029;Kembang Janggut;Kab Kutai Kartanegara;102000
1;2030;Kembang;Kab Jepara;25000
1;2031;Kembang Tanjung;Kab Pidie;57000
1;2032;Kembangan ;Kota Administrasi Jakarta Barat;9000
1;2033;Kembangbahu;Kab Lamongan;32000
1;2034;Kembaran;Kab Banyumas;25000
1;2035;Kembayan;Kab Sanggau;53000
1;2036;Kembu;Kab Talikora;206000
1;2037;Kemiling;Kota Bandar Lampung;17000
1;2038;Kemiri ;Kab Tangerang;10000
1;2039;Kemiri;Kab Purworejo;27000
1;2040;Kemlagi;Kab Mojokerto;20000
1;2041;Kempo;Kab Dompu;63000
1;2042;Kemranjen;Kab Banyumas;25000
1;2043;Kemtuk Gresie ;Kab Jayapura;70000
1;2044;Kemtuk;Kab Jayapura;137000
1;2045;Kemuning;Kab Indragiri Hilir;72000
1;2046;Kemuning;Kota Palembang;18000
1;2047;Kemusu;Kab Boyolali;25000
